item_id,timestamp,target_value
1,2020-03-06,1
1,2020-03-10,2
1,2020-03-11,6
1,2020-03-13,4
1,2020-03-14,9
1,2020-03-15,12
1,2020-03-16,23
1,2020-03-17,18
1,2020-03-18,27
1,2020-03-19,6
1,2020-03-20,50
1,2020-03-21,38
1,2020-03-22,35
1,2020-03-23,46
1,2020-03-24,101
1,2020-03-25,92
1,2020-03-26,21
1,2020-03-27,48
1,2020-03-28,69
1,2020-03-29,94
1,2020-03-30,96
1,2020-03-31,108
1,2020-04-01,159
1,2020-04-02,96
1,2020-04-03,106
1,2020-04-04,139
1,2020-04-05,79
1,2020-04-06,94
1,2020-04-07,201
1,2020-04-08,274
1,2020-04-09,169
1,2020-04-10,250
1,2020-04-11,236
1,2020-04-12,67
1,2020-04-13,76
1,2020-04-14,127
1,2020-04-15,126
1,2020-04-16,128
1,2020-04-17,206
1,2020-04-18,182
1,2020-04-19,171
1,2020-04-20,185
1,2020-04-21,172
1,2020-04-22,207
1,2020-04-23,205
1,2020-04-24,320
1,2020-04-25,261
1,2020-04-26,237
1,2020-04-27,218
1,2020-04-28,352
1,2020-04-29,258
1,2020-04-30,300
1,2020-05-01,499
1,2020-05-02,279
1,2020-05-03,383
1,2020-05-04,305
1,2020-05-05,640
1,2020-05-06,346
1,2020-05-07,497
1,2020-05-08,595
1,2020-05-09,444
1,2020-05-10,568
1,2020-05-11,550
1,2020-05-12,659
1,2020-05-13,658
1,2020-05-14,680
1,2020-05-15,606
1,2020-05-16,723
1,2020-05-17,635
1,2020-05-18,721
1,2020-05-19,640
1,2020-05-20,752
1,2020-05-21,643
1,2020-05-22,801
1,2020-05-23,1046
1,2020-05-24,998
1,2020-05-25,806
1,2020-05-26,1022
1,2020-05-27,1101
1,2020-05-28,1262
1,2020-05-29,1322
1,2020-05-30,1548
1,2020-05-31,1147
1,2020-06-01,1110
1,2020-06-02,1340
1,2020-06-03,1521
1,2020-06-04,1766
1,2020-06-05,1515
1,2020-06-06,1392
1,2020-06-07,1209
1,2020-06-08,1483
1,2020-06-09,1359
1,2020-06-10,1604
1,2020-06-11,1530
1,2020-06-12,1646
1,2020-06-13,1888
1,2020-06-14,2193
1,2020-06-15,2124
1,2020-06-16,1868
1,2020-06-17,2115
1,2020-06-18,3171
1,2020-06-19,3059
1,2020-06-20,2357
1,2020-06-21,3019
1,2020-06-22,2531
1,2020-06-23,2389
1,2020-06-24,3541
1,2020-06-25,3486
1,2020-06-26,3843
1,2020-06-27,4149
1,2020-06-28,3178
1,2020-06-29,3274
1,2020-06-30,2803
1,2020-07-01,4163
1,2020-07-02,4101
1,2020-07-03,3395
1,2020-07-04,3884
1,2020-07-05,3721
1,2020-07-06,3171
1,2020-07-07,4213
1,2020-07-08,4144
1,2020-07-09,5335
1,2020-07-10,6803
1,2020-07-11,4856
1,2020-07-12,4813
1,2020-07-13,3832
1,2020-07-14,5621
1,2020-07-15,5271
1,2020-07-16,8037
1,2020-07-17,8934
1,2020-07-18,8560
1,2020-07-19,6578
1,2020-07-20,6727
1,2020-07-21,7033
1,2020-07-22,7390
1,2020-07-23,7945
